Date/Time,Year,Month,Day,Time,Market Demand,Ontario Demand,Temp (°C),Dew Point Temp (°C),Rel Hum (%)
01-01-19 0:00,2019,1,1,0:00,16231,13198,5.1,4.3,94
01-01-19 1:00,2019,1,1,1:00,16051,12737,6.2,5.3,94
01-01-19 2:00,2019,1,1,2:00,15805,12531,5.6,4.6,93
01-01-19 3:00,2019,1,1,3:00,15580,12291,3.2,1.4,88
01-01-19 4:00,2019,1,1,4:00,15609,12305,2.7,0.7,87
01-01-19 5:00,2019,1,1,5:00,15775,12559,2.8,0.3,83
01-01-19 6:00,2019,1,1,6:00,15966,13009,2.4,-0.9,79
01-01-19 7:00,2019,1,1,7:00,16342,13234,2.1,-1.5,77
01-01-19 8:00,2019,1,1,8:00,16188,13558,1.6,-2.1,76
01-01-19 9:00,2019,1,1,9:00,16515,13973,1.2,-2.7,75
01-01-19 10:00,2019,1,1,10:00,16706,14207,0.2,-4,73
01-01-19 11:00,2019,1,1,11:00,16446,14391,0.4,-4.3,71
01-01-19 12:00,2019,1,1,12:00,16464,14442,-0.8,-5.4,71
01-01-19 13:00,2019,1,1,13:00,16510,14427,-0.9,-6.2,67
01-01-19 14:00,2019,1,1,14:00,16850,14557,-1.2,-6.7,66
01-01-19 15:00,2019,1,1,15:00,17062,15000,-1.7,-7,67
01-01-19 16:00,2019,1,1,16:00,18043,16064,-2.4,-7.8,66
01-01-19 17:00,2019,1,1,17:00,19196,17232,-3.5,-8.3,69
01-01-19 18:00,2019,1,1,18:00,19291,17278,-4.5,-9.3,69
01-01-19 19:00,2019,1,1,19:00,19281,17055,-5.3,-10,69
01-01-19 20:00,2019,1,1,20:00,19011,16834,-5.7,-10.1,71
01-01-19 21:00,2019,1,1,21:00,18490,16320,-6.1,-10.5,71
01-01-19 22:00,2019,1,1,22:00,17205,15521,-6.4,-10.5,72
01-01-19 23:00,2019,1,1,23:00,16656,14944,-6.5,-10.3,74
02-01-19 0:00,2019,1,2,0:00,16292,14631,-6.6,-10.6,73
02-01-19 1:00,2019,1,2,1:00,16049,14240,-6.4,-10.4,73
02-01-19 2:00,2019,1,2,2:00,15946,14021,-6.3,-10.4,72
02-01-19 3:00,2019,1,2,3:00,15886,13924,-6.7,-10.8,73
02-01-19 4:00,2019,1,2,4:00,16308,14183,-7.3,-10.8,76
02-01-19 5:00,2019,1,2,5:00,16899,14813,-7.6,-11,77
02-01-19 6:00,2019,1,2,6:00,17903,16096,-8,-11.2,77
02-01-19 7:00,2019,1,2,7:00,18912,17129,-8.1,-11.5,76
02-01-19 8:00,2019,1,2,8:00,19278,17438,-7.9,-11.2,77
02-01-19 9:00,2019,1,2,9:00,19187,17409,-7.7,-11.3,75
02-01-19 10:00,2019,1,2,10:00,19134,17392,-6.9,-11,73
02-01-19 11:00,2019,1,2,11:00,19202,17407,-6.3,-12.1,63
02-01-19 12:00,2019,1,2,12:00,19504,17611,-5,-10.4,66
02-01-19 13:00,2019,1,2,13:00,19792,17850,-4.1,-8.3,73
02-01-19 14:00,2019,1,2,14:00,19821,17997,-3.9,-7.6,76
02-01-19 15:00,2019,1,2,15:00,20136,18464,-3.8,-6.2,83
02-01-19 16:00,2019,1,2,16:00,20569,18802,-3.1,-5.4,84
02-01-19 17:00,2019,1,2,17:00,21318,19666,-2.1,-5.4,78
02-01-19 18:00,2019,1,2,18:00,21048,19285,-1.5,-4.3,81
02-01-19 19:00,2019,1,2,19:00,20778,19136,-1.2,-3.2,86
02-01-19 20:00,2019,1,2,20:00,20449,18737,-0.5,-2.7,85
02-01-19 21:00,2019,1,2,21:00,19652,17961,-0.1,-2.3,85
02-01-19 22:00,2019,1,2,22:00,18627,16811,0.1,-1.5,89
02-01-19 23:00,2019,1,2,23:00,17719,15879,0.3,-1,91
03-01-19 0:00,2019,1,3,0:00,17527,15236,0.3,-0.7,93
03-01-19 1:00,2019,1,3,1:00,17454,14589,0.6,-0.4,93
03-01-19 2:00,2019,1,3,2:00,17504,14349,0.3,-0.6,93
03-01-19 3:00,2019,1,3,3:00,17249,14024,-0.2,-2,88
03-01-19 4:00,2019,1,3,4:00,17155,14074,-0.5,-2.8,85
03-01-19 5:00,2019,1,3,5:00,17018,14539,0.3,-2.5,81
03-01-19 6:00,2019,1,3,6:00,17765,15604,0.7,-3.5,74
03-01-19 7:00,2019,1,3,7:00,18656,16668,0.6,-4.1,71
03-01-19 8:00,2019,1,3,8:00,19115,17220,0.4,-5.1,67
03-01-19 9:00,2019,1,3,9:00,19613,17670,0.3,-4.6,70
03-01-19 10:00,2019,1,3,10:00,19648,17858,0,-5.8,65
03-01-19 11:00,2019,1,3,11:00,19586,17719,0.2,-5.5,65
03-01-19 12:00,2019,1,3,12:00,19532,17417,0,-5.4,67
03-01-19 13:00,2019,1,3,13:00,19675,17471,0.2,-5.7,65
03-01-19 14:00,2019,1,3,14:00,19835,17657,0.4,-5,67
03-01-19 15:00,2019,1,3,15:00,20037,17777,0.7,-4.6,68
03-01-19 16:00,2019,1,3,16:00,20345,18230,0.9,-4.6,66
03-01-19 17:00,2019,1,3,17:00,20827,18803,1,-4.9,65
03-01-19 18:00,2019,1,3,18:00,20119,18414,1.1,-4.7,65
03-01-19 19:00,2019,1,3,19:00,20244,18182,1.2,-3.9,69
03-01-19 20:00,2019,1,3,20:00,19873,17868,1.1,-3.8,70
03-01-19 21:00,2019,1,3,21:00,19210,17048,1,-3.4,72
03-01-19 22:00,2019,1,3,22:00,18381,16071,1.2,-3.1,73
03-01-19 23:00,2019,1,3,23:00,18014,15024,1.1,-2.9,74
04-01-19 0:00,2019,1,4,0:00,17998,14378,1.3,-2.9,74
04-01-19 1:00,2019,1,4,1:00,17292,13862,1.5,-2.4,75
04-01-19 2:00,2019,1,4,2:00,16980,13622,1.7,-2.4,74
04-01-19 3:00,2019,1,4,3:00,16943,13464,1.5,-2.5,75
04-01-19 4:00,2019,1,4,4:00,16306,13560,1.4,-2.2,77
04-01-19 5:00,2019,1,4,5:00,16987,13984,1.5,-1.7,79
04-01-19 6:00,2019,1,4,6:00,17351,15038,1.5,-1.6,80
04-01-19 7:00,2019,1,4,7:00,18517,15999,1.6,-1.6,79
04-01-19 8:00,2019,1,4,8:00,18360,16178,2,-1.2,79
04-01-19 9:00,2019,1,4,9:00,18785,16297,2.4,-1.5,75
04-01-19 10:00,2019,1,4,10:00,18807,16269,3.5,-1.7,69
04-01-19 11:00,2019,1,4,11:00,18548,16171,4.2,-1.5,66
04-01-19 12:00,2019,1,4,12:00,18466,15948,5.5,-1.1,62
04-01-19 13:00,2019,1,4,13:00,18460,15733,7.1,-1.2,56
04-01-19 14:00,2019,1,4,14:00,17933,15513,7.4,-1,55
04-01-19 15:00,2019,1,4,15:00,17998,15878,7.3,-0.5,58
04-01-19 16:00,2019,1,4,16:00,18618,16633,6.7,-0.1,62
04-01-19 17:00,2019,1,4,17:00,19858,17738,6.5,0.1,64
04-01-19 18:00,2019,1,4,18:00,19739,17658,5.9,-0.9,61
04-01-19 19:00,2019,1,4,19:00,19521,17425,5,-0.7,67
04-01-19 20:00,2019,1,4,20:00,19107,17038,4.5,-0.7,69
04-01-19 21:00,2019,1,4,21:00,18635,16647,3.9,-0.8,72
04-01-19 22:00,2019,1,4,22:00,17679,15772,3,-1.3,74
04-01-19 23:00,2019,1,4,23:00,16675,14740,3.1,-0.6,76
05-01-19 0:00,2019,1,5,0:00,16060,13781,2.6,-1.6,74
05-01-19 1:00,2019,1,5,1:00,15490,13223,2.8,-1.2,75
05-01-19 2:00,2019,1,5,2:00,15640,12984,2.6,-1,77
05-01-19 3:00,2019,1,5,3:00,15500,12882,2,-1.3,79
05-01-19 4:00,2019,1,5,4:00,15785,12994,1.6,-1.1,82
05-01-19 5:00,2019,1,5,5:00,15836,13167,1.5,-1.2,82
05-01-19 6:00,2019,1,5,6:00,16229,13641,1.8,-0.7,83
05-01-19 7:00,2019,1,5,7:00,17055,14488,2.2,-0.3,83
05-01-19 8:00,2019,1,5,8:00,17174,15072,2.3,-0.4,83
05-01-19 9:00,2019,1,5,9:00,17707,15504,2.4,-0.8,80
05-01-19 10:00,2019,1,5,10:00,18085,15764,2.5,-1.2,77
05-01-19 11:00,2019,1,5,11:00,18442,16042,2.8,-1.6,73
05-01-19 12:00,2019,1,5,12:00,18131,16056,3.2,-1.1,73
05-01-19 13:00,2019,1,5,13:00,17959,15840,3.2,-1.1,73
05-01-19 14:00,2019,1,5,14:00,17537,15761,3.2,-0.7,76
05-01-19 15:00,2019,1,5,15:00,18055,15859,3.9,-1.1,70
05-01-19 16:00,2019,1,5,16:00,18549,16343,3.6,-0.8,73
05-01-19 17:00,2019,1,5,17:00,19518,17184,2,-1,81
05-01-19 18:00,2019,1,5,18:00,19299,16913,1.6,-1.1,82
05-01-19 19:00,2019,1,5,19:00,19048,16558,1.4,-1.5,81
05-01-19 20:00,2019,1,5,20:00,18495,16106,1.7,-1.1,82
05-01-19 21:00,2019,1,5,21:00,18242,15543,2,-0.7,83
05-01-19 22:00,2019,1,5,22:00,17176,14756,2.3,-0.3,83
05-01-19 23:00,2019,1,5,23:00,16759,13810,2.6,0.2,84
06-01-19 0:00,2019,1,6,0:00,16736,13323,3.2,0.7,84
06-01-19 1:00,2019,1,6,1:00,16451,12839,3.5,0.7,82
06-01-19 2:00,2019,1,6,2:00,15895,12462,4.7,0.8,76
06-01-19 3:00,2019,1,6,3:00,15723,12332,4.5,0.1,73
06-01-19 4:00,2019,1,6,4:00,15969,12502,3.4,0.3,80
06-01-19 5:00,2019,1,6,5:00,16041,12643,3.2,-2.7,65
06-01-19 6:00,2019,1,6,6:00,16461,13061,2.5,-2.2,71
06-01-19 7:00,2019,1,6,7:00,16933,13748,2.3,-2.7,70
06-01-19 8:00,2019,1,6,8:00,17025,14211,2.1,-1.8,75
06-01-19 9:00,2019,1,6,9:00,17261,14576,1.9,-1.7,77
06-01-19 10:00,2019,1,6,10:00,17127,14798,2.1,-3,69
06-01-19 11:00,2019,1,6,11:00,16714,14637,1.8,-7.8,49
06-01-19 12:00,2019,1,6,12:00,17316,14968,1.7,-8.6,46
06-01-19 13:00,2019,1,6,13:00,17587,15167,1.2,-8.8,47
06-01-19 14:00,2019,1,6,14:00,18156,15389,0.5,-9.3,48
06-01-19 15:00,2019,1,6,15:00,18385,15849,-0.5,-7.4,59
06-01-19 16:00,2019,1,6,16:00,18752,16731,-0.7,-9.7,50
06-01-19 17:00,2019,1,6,17:00,19966,18226,-1.9,-10.2,53
06-01-19 18:00,2019,1,6,18:00,19932,18194,-2.3,-11.1,51
06-01-19 19:00,2019,1,6,19:00,19822,17843,-2.8,-11.9,50
06-01-19 20:00,2019,1,6,20:00,19238,17404,-3.7,-13.4,47
06-01-19 21:00,2019,1,6,21:00,18709,16848,-4.6,-13.4,50
06-01-19 22:00,2019,1,6,22:00,17785,15899,-4.9,-13.6,50
06-01-19 23:00,2019,1,6,23:00,17104,14959,-5.3,-13.6,52
07-01-19 0:00,2019,1,7,0:00,17092,14474,-5.9,-13.5,55
07-01-19 1:00,2019,1,7,1:00,16696,14024,-6.8,-13.9,57
07-01-19 2:00,2019,1,7,2:00,16542,13803,-7.5,-14,59
07-01-19 3:00,2019,1,7,3:00,16367,13732,-7.4,-13.2,63
07-01-19 4:00,2019,1,7,4:00,16841,14101,-7.1,-12.5,65
07-01-19 5:00,2019,1,7,5:00,17454,14763,-5.9,-9.4,76
07-01-19 6:00,2019,1,7,6:00,18723,16056,-5.7,-9,78
07-01-19 7:00,2019,1,7,7:00,20282,17642,-4.6,-8.4,75
07-01-19 8:00,2019,1,7,8:00,20727,18007,-3.7,-8,72
07-01-19 9:00,2019,1,7,9:00,20756,18027,-3.2,-7.8,71
07-01-19 10:00,2019,1,7,10:00,20775,18146,-3.2,-7.3,73
07-01-19 11:00,2019,1,7,11:00,21082,18329,-3.2,-8.8,65
07-01-19 12:00,2019,1,7,12:00,20724,18344,-3.1,-10.7,56
07-01-19 13:00,2019,1,7,13:00,20515,18388,-2.8,-10.9,54
07-01-19 14:00,2019,1,7,14:00,20118,18247,-2.4,-9.9,56
07-01-19 15:00,2019,1,7,15:00,20458,18356,-1.8,-9,58
07-01-19 16:00,2019,1,7,16:00,20855,18977,-1.5,-8.1,61
07-01-19 17:00,2019,1,7,17:00,21361,19717,-1.2,-7.9,60
07-01-19 18:00,2019,1,7,18:00,20628,19204,-0.5,-6.1,66
07-01-19 19:00,2019,1,7,19:00,20626,18954,0.5,-4.1,71
07-01-19 20:00,2019,1,7,20:00,20010,18550,1.1,-3.3,73
07-01-19 21:00,2019,1,7,21:00,20020,17843,1.4,-1.4,82
07-01-19 22:00,2019,1,7,22:00,19071,16650,1.8,-0.6,84
07-01-19 23:00,2019,1,7,23:00,18123,15568,2.1,0.3,88
08-01-19 0:00,2019,1,8,0:00,17672,14711,4.3,2.3,87
08-01-19 1:00,2019,1,8,1:00,17507,14104,5.6,3.3,85
08-01-19 2:00,2019,1,8,2:00,17079,13773,6.3,3.2,81
08-01-19 3:00,2019,1,8,3:00,17061,13591,6,4,87
08-01-19 4:00,2019,1,8,4:00,17279,13826,7.7,5.9,89
08-01-19 5:00,2019,1,8,5:00,17074,14413,7.9,3.6,74
08-01-19 6:00,2019,1,8,6:00,18200,15647,6.6,2.6,76
08-01-19 7:00,2019,1,8,7:00,19080,17043,5.8,2.3,78
08-01-19 8:00,2019,1,8,8:00,18905,17102,5.4,1.6,77
08-01-19 9:00,2019,1,8,9:00,18222,16911,5.6,1.9,77
08-01-19 10:00,2019,1,8,10:00,18269,16891,6.4,2.4,75
08-01-19 11:00,2019,1,8,11:00,18526,16873,6.6,1.7,71
08-01-19 12:00,2019,1,8,12:00,18747,16721,6.3,2,74
08-01-19 13:00,2019,1,8,13:00,18553,16907,6.3,2.2,75
08-01-19 14:00,2019,1,8,14:00,18985,17045,6.3,2.7,78
08-01-19 15:00,2019,1,8,15:00,19482,17234,5.3,3.1,86
08-01-19 16:00,2019,1,8,16:00,19786,17795,5.2,3.3,87
08-01-19 17:00,2019,1,8,17:00,20528,18527,5.6,3.4,86
08-01-19 18:00,2019,1,8,18:00,20084,18031,5.3,3.4,87
08-01-19 19:00,2019,1,8,19:00,19760,17746,4.9,3.3,89
08-01-19 20:00,2019,1,8,20:00,19540,17361,4.9,3.3,89
08-01-19 21:00,2019,1,8,21:00,18829,16705,4.9,3.3,90
