MeterID,Assigned,time,F,kWa,kWb,kWc,kWtotal
26,"Gillin, ITC, Old Eng (ION 7650) Reference meter ON",2017-11-08 00:00:19,60.01,84.08,89.3,83.27,256.65
26,"Gillin, ITC, Old Eng (ION 7650) Reference meter ON",2017-11-08 00:30:16,60.02,100.67,109.7,98.21,308.59
26,"Gillin, ITC, Old Eng (ION 7650) Reference meter ON",2017-11-08 00:45:18,60.01,83.76,88.27,83.23,255.26
26,"Gillin, ITC, Old Eng (ION 7650) Reference meter ON",2017-11-08 01:00:16,59.97,91.89,99.76,92.48,284.13
26,"Gillin, ITC, Old Eng (ION 7650) Reference meter ON",2017-11-08 01:15:16,60.02,86.69,95.39,86.42,268.5
26,"Gillin, ITC, Old Eng (ION 7650) Reference meter ON",2017-11-08 01:30:20,60.02,78.45,82.09,78.05,238.59
26,"Gillin, ITC, Old Eng (ION 7650) Reference meter ON",2017-11-08 01:45:20,60.01,71.94,72.49,72.82,217.25
26,"Gillin, ITC, Old Eng (ION 7650) Reference meter ON",2017-11-08 02:00:19,59.99,73.98,76,73.04,223.01
26,"Gillin, ITC, Old Eng (ION 7650) Reference meter ON",2017-11-08 02:15:19,60,73.5,75.84,72.92,222.26
26,"Gillin, ITC, Old Eng (ION 7650) Reference meter ON",2017-11-08 02:30:16,59.99,74.03,79.16,72.82,226.01
26,"Gillin, ITC, Old Eng (ION 7650) Reference meter ON",2017-11-08 02:45:17,60.02,75.07,78.22,74.37,227.66
26,"Gillin, ITC, Old Eng (ION 7650) Reference meter ON",2017-11-08 03:00:18,60.03,72.31,75.37,72.03,219.71
26,"Gillin, ITC, Old Eng (ION 7650) Reference meter ON",2017-11-08 03:15:17,60.03,72.38,71.62,72.91,216.91
26,"Gillin, ITC, Old Eng (ION 7650) Reference meter ON",2017-11-08 03:30:19,60.02,70.43,70.73,70.17,211.33
26,"Gillin, ITC, Old Eng (ION 7650) Reference meter ON",2017-11-08 03:45:19,60.02,72.45,71.18,69.79,213.41
26,"Gillin, ITC, Old Eng (ION 7650) Reference meter ON",2017-11-08 04:00:18,59.98,72.75,74.32,71.3,218.37
26,"Gillin, ITC, Old Eng (ION 7650) Reference meter ON",2017-11-08 04:30:20,60,71.74,73.08,70.05,214.86
26,"Gillin, ITC, Old Eng (ION 7650) Reference meter ON",2017-11-08 04:45:18,59.99,73.49,73.39,72.97,219.84
26,"Gillin, ITC, Old Eng (ION 7650) Reference meter ON",2017-11-08 05:00:18,59.98,70.97,72.47,70.41,213.85
26,"Gillin, ITC, Old Eng (ION 7650) Reference meter ON",2017-11-08 05:30:20,60,69.88,73.21,67.41,210.49
26,"Gillin, ITC, Old Eng (ION 7650) Reference meter ON",2017-11-08 05:45:19,59.99,67.94,69.46,65.6,203
26,"Gillin, ITC, Old Eng (ION 7650) Reference meter ON",2017-11-08 06:00:17,60.03,69.63,71.1,63.77,204.49
26,"Gillin, ITC, Old Eng (ION 7650) Reference meter ON",2017-11-08 06:15:17,59.99,67.51,69.13,62.54,199.19
26,"Gillin, ITC, Old Eng (ION 7650) Reference meter ON",2017-11-08 06:30:19,60.01,67.68,68.13,62.62,198.42
26,"Gillin, ITC, Old Eng (ION 7650) Reference meter ON",2017-11-08 06:45:16,60,68.95,70.11,63.48,202.54
26,"Gillin, ITC, Old Eng (ION 7650) Reference meter ON",2017-11-08 07:15:18,59.99,67.15,68.05,62.56,197.77
26,"Gillin, ITC, Old Eng (ION 7650) Reference meter ON",2017-11-08 07:30:18,59.99,67.93,69.48,63.19,200.59
26,"Gillin, ITC, Old Eng (ION 7650) Reference meter ON",2017-11-08 07:45:18,59.99,66.36,67.63,61.73,195.72
26,"Gillin, ITC, Old Eng (ION 7650) Reference meter ON",2017-11-08 08:00:16,60.04,67.58,69.05,64.03,200.65
26,"Gillin, ITC, Old Eng (ION 7650) Reference meter ON",2017-11-08 08:15:17,59.99,68.1,68.79,62.85,199.74
26,"Gillin, ITC, Old Eng (ION 7650) Reference meter ON",2017-11-08 08:30:18,60.02,66.12,68.34,62.59,197.05
26,"Gillin, ITC, Old Eng (ION 7650) Reference meter ON",2017-11-08 08:45:19,59.98,76.88,79.85,73.12,229.85
26,"Gillin, ITC, Old Eng (ION 7650) Reference meter ON",2017-11-08 09:00:18,59.98,67.94,68.92,63.08,199.94
