MeterID,Assigned,time,F,kWa,kWb,kWc,kWtotal
33,ITC (Accuvim),2017-10-26 00:04:16,60.01,42.379,42.912,41.806,127.097
33,ITC (Accuvim),2017-10-26 00:19:32,60.01,42.325,42.379,41.159,125.864
33,ITC (Accuvim),2017-10-26 00:34:21,60.01,42.07,42.262,41.068,125.399
33,ITC (Accuvim),2017-10-26 00:49:30,60,40.79,42.194,39.541,122.526
33,ITC (Accuvim),2017-10-26 01:04:38,60,39.272,38.799,37.934,116.005
33,ITC (Accuvim),2017-10-26 01:19:23,60.01,40.615,39.995,39.081,119.691
33,ITC (Accuvim),2017-10-26 01:34:21,59.99,39.103,38.848,37.84,115.792
33,ITC (Accuvim),2017-10-26 01:49:30,60.01,40.446,41.106,38.72,120.273
33,ITC (Accuvim),2017-10-26 02:04:21,59.99,40.427,39.722,38.888,119.036
33,ITC (Accuvim),2017-10-26 02:19:01,59.99,39.538,38.724,37.797,116.059
33,ITC (Accuvim),2017-10-26 02:34:31,59.99,40.378,39.522,38.809,118.709
33,ITC (Accuvim),2017-10-26 02:49:10,60,39.56,38.717,38.177,116.454
33,ITC (Accuvim),2017-10-26 03:04:14,59.97,39.397,38.669,37.957,116.023
33,ITC (Accuvim),2017-10-26 03:19:15,60,40.36,40.919,38.524,119.803
33,ITC (Accuvim),2017-10-26 03:34:38,60.02,39.384,38.412,37.946,115.741
33,ITC (Accuvim),2017-10-26 03:49:33,60,40.189,39.342,38.861,118.391
33,ITC (Accuvim),2017-10-26 04:04:23,60,39.114,38.3,37.896,115.309
33,ITC (Accuvim),2017-10-26 04:19:09,59.99,39.122,38.42,38.166,115.708
33,ITC (Accuvim),2017-10-26 04:34:10,59.99,39.519,40.555,37.621,117.694
33,ITC (Accuvim),2017-10-26 04:49:34,60.01,39.821,39.456,38.186,117.463
33,ITC (Accuvim),2017-10-26 05:04:15,59.97,39.064,38.33,37.431,114.825
33,ITC (Accuvim),2017-10-26 05:19:16,59.99,38.764,38.552,37.128,114.444
33,ITC (Accuvim),2017-10-26 05:34:17,59.99,39.795,39.43,38.241,117.465
33,ITC (Accuvim),2017-10-26 05:49:46,59.99,38.963,38.373,34.2,111.536
33,ITC (Accuvim),2017-10-26 06:04:17,60,40.238,41.763,35.803,117.804
33,ITC (Accuvim),2017-10-26 06:19:05,60,38.584,38.462,34.2,111.245
33,ITC (Accuvim),2017-10-26 06:34:25,59.97,38.606,38.388,34.286,111.28
33,ITC (Accuvim),2017-10-26 06:49:28,59.99,38.74,38.501,34.34,111.581
33,ITC (Accuvim),2017-10-26 07:04:39,60,39.508,39.326,35.116,113.95
33,ITC (Accuvim),2017-10-26 07:19:15,59.99,39.068,38.522,34.106,111.696
33,ITC (Accuvim),2017-10-26 07:34:16,59.97,39.626,40.764,34.954,115.344
33,ITC (Accuvim),2017-10-26 07:49:14,59.99,39.08,38.41,34.179,111.669
33,ITC (Accuvim),2017-10-26 08:04:31,60,38.974,38.547,34.271,111.792
