"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-02-01 00:00","2017","02","01","00:00","-13.6","","-15.0","","89","","34","","6","","","","100.91","","","","-18","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-02-01 01:00","2017","02","01","01:00","-14.4","","-15.8","","90","","34","","6","","","","100.94","","","","-19","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-02-01 02:00","2017","02","01","02:00","-15.3","","-16.8","","88","","34","","8","","","","100.95","","","","-21","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-02-01 03:00","2017","02","01","03:00","-15.9","","-17.4","","88","","35","","7","","","","100.97","","","","-21","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-02-01 04:00","2017","02","01","04:00","-16.5","","-18.0","","88","","33","","6","","","","100.96","","","","-21","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-02-01 05:00","2017","02","01","05:00","-17.1","","-18.7","","87","","34","","7","","","","100.94","","","","-22","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-02-01 06:00","2017","02","01","06:00","-17.5","","-19.2","","87","","35","","9","","","","100.91","","","","-24","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-02-01 07:00","2017","02","01","07:00","-17.8","","-19.5","","86","","35","","6","","","","100.94","","","","-22","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-02-01 08:00","2017","02","01","08:00","-17.9","","-19.7","","86","","34","","6","","","","101.00","","","","-23","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2017-02-01 09:00","2017","02","01","09:00","-17.7","","-19.4","","86","","33","","7","","","","101.00","","","","-23","","NA"
