# CSV-File created with merge-csv.com
# -----------------------------------------------------------

﻿"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-01 00:00","2019","01","01","00:00","-6.0","","-8.8","","80","","13","","4","","","","101.62","","","","-8","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-01 01:00","2019","01","01","01:00","-5.4","","-7.7","","84","","11","","6","","","","101.46","","","","-8","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-01 02:00","2019","01","01","02:00","-5.3","","-7.1","","87","","18","","4","","","","101.28","","","","-7","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-01 03:00","2019","01","01","03:00","-4.8","","-6.1","","91","","16","","5","","","","101.12","","","","-7","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-01 04:00","2019","01","01","04:00","-4.3","","-4.9","","95","","18","","6","","","","100.91","","","","-7","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-01 05:00","2019","01","01","05:00","-3.7","","-4.1","","97","","15","","9","","","","100.65","","","","-7","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-01 06:00","2019","01","01","06:00","-0.7","","-0.9","","98","","14","","16","","","","100.48","","","","-5","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-01 07:00","2019","01","01","07:00","0.0","","-0.4","","97","","14","","20","","","","100.27","","","","-5","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-01 08:00","2019","01","01","08:00","-0.7","","-0.9","","98","","13","","22","","","","99.92","","","","-6","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-01 09:00","2019","01","01","09:00","-0.8","","-1.0","","98","","12","","21","","","","99.64","","","","-6","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-01 10:00","2019","01","01","10:00","-0.8","","-1.0","","99","","12","","19","","","","99.29","","","","-6","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-01 11:00","2019","01","01","11:00","-0.7","","-0.9","","99","","11","","15","","","","99.13","","","","-5","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-01 12:00","2019","01","01","12:00","-0.6","","-0.8","","99","","9","","11","","","","98.86","","","","-4","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-01 13:00","2019","01","01","13:00","-0.4","","-0.6","","99","","5","","8","","","","98.74","","","","-3","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-01 14:00","2019","01","01","14:00","-0.6","","-0.8","","99","","35","","13","","","","98.79","","","","-5","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-01 15:00","2019","01","01","15:00","-0.6","","-1.1","","97","","33","","18","","","","99.01","","","","-6","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-01 16:00","2019","01","01","16:00","-0.9","","-1.8","","93","","32","","16","","","","99.29","","","","-6","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-01 17:00","2019","01","01","17:00","-0.9","","-1.8","","93","","30","","14","","","","99.51","","","","-5","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-01 18:00","2019","01","01","18:00","-0.1","","-0.8","","95","","28","","22","","","","99.69","","","","-6","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-01 19:00","2019","01","01","19:00","-1.3","","-3.1","","88","","30","","22","","","","99.87","","","","-7","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-01 20:00","2019","01","01","20:00","-2.4","","-5.3","","81","","30","","27","","","","100.12","","","","-9","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-01 21:00","2019","01","01","21:00","-3.1","","-6.4","","78","","31","","24","","","","100.30","","","","-10","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-01 22:00","2019","01","01","22:00","-5.8","","-8.8","","80","","29","","40","","","","100.45","","","","-15","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-01 23:00","2019","01","01","23:00","-7.9","","-11.1","","78","","29","","17","","","","100.64","","","","-15","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-02 00:00","2019","01","02","00:00","-9.9","","-13.1","","77","","29","","32","","","","100.70","","","","-20","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-02 01:00","2019","01","02","01:00","-10.9","","-14.4","","76","","30","","23","","","","100.91","","","","-20","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-02 02:00","2019","01","02","02:00","-12.2","","-15.3","","77","","29","","20","","","","101.06","","","","-21","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-02 03:00","2019","01","02","03:00","-13.3","","-16.3","","78","","28","","22","","","","101.22","","","","-22","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-02 04:00","2019","01","02","04:00","-14.2","","-17.5","","76","","29","","16","","","","101.34","","","","-22","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-02 05:00","2019","01","02","05:00","-14.9","","-18.1","","77","","28","","20","","","","101.38","","","","-24","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-02 06:00","2019","01","02","06:00","-15.5","","-18.5","","77","","27","","19","","","","101.52","","","","-25","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-02 07:00","2019","01","02","07:00","-16.3","","-19.5","","76","","29","","14","","","","101.66","","","","-24","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-02 08:00","2019","01","02","08:00","-16.5","","-19.8","","76","","29","","20","","","","101.83","","","","-26","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-02 09:00","2019","01","02","09:00","-16.8","","-20.2","","75","","30","","16","","","","102.02","","","","-25","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-02 10:00","2019","01","02","10:00","-16.4","","-20.2","","72","","29","","17","","","","102.11","","","","-25","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-02 11:00","2019","01","02","11:00","-15.5","","-19.5","","71","","29","","19","","","","102.11","","","","-25","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-02 12:00","2019","01","02","12:00","-14.4","","-19.2","","67","","30","","18","","","","102.04","","","","-23","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-02 13:00","2019","01","02","13:00","-13.4","","-18.6","","64","","29","","18","","","","101.99","","","","-22","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-02 14:00","2019","01","02","14:00","-12.7","","-17.8","","66","","28","","19","","","","102.06","","","","-21","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-02 15:00","2019","01","02","15:00","-11.7","","-18.1","","59","","30","","12","","","","102.09","","","","-18","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-02 16:00","2019","01","02","16:00","-11.8","","-18.2","","59","","30","","20","","","","102.09","","","","-20","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-02 17:00","2019","01","02","17:00","-12.7","","-17.5","","68","","28","","15","","","","102.08","","","","-20","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-02 18:00","2019","01","02","18:00","-13.9","","-17.8","","73","","27","","3","","","","102.11","","","","-16","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-02 19:00","2019","01","02","19:00","-15.3","","-18.1","","79","","26","","10","","","","102.09","","","","-22","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-02 20:00","2019","01","02","20:00","-18.6","","-21.4","","79","","25","","7","","","","102.12","","","","-24","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-02 21:00","2019","01","02","21:00","-18.4","","-20.9","","81","","27","","3","","","","102.04","","","","-21","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-02 22:00","2019","01","02","22:00","-19.7","","-21.4","","86","","20","","4","","","","102.02","","","","-23","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-02 23:00","2019","01","02","23:00","-18.8","","-20.4","","87","","22","","6","","","","102.07","","","","-24","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-03 00:00","2019","01","03","00:00","-19.0","","-20.6","","87","","20","","7","","","","102.05","","","","-24","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-03 01:00","2019","01","03","01:00","-20.5","","-22.2","","86","","7","","2","","","","102.01","","","","-22","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-03 02:00","2019","01","03","02:00","-21.8","","-23.8","","84","","0","","1","","","","101.94","","","","-23","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-03 03:00","2019","01","03","03:00","-21.5","","-23.4","","85","","29","","3","","","","101.95","","","","-24","","NA"
"-66.61","45.92","FREDERICTON CDA CS","8101605","2019-01-03 04:00","2019","01","03","04:00","-20.5","","-22.3","","85","","35","","5","","","","101.80","","","","-25","","NA"
